atom_type,atom_value,first_seen,last_updated,subcategories,threat_scores,threat_types
domain,accordan.ru,2022-02-03T23:45:51Z,2022-03-12T00:00:00Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'OCD - Threat pattern:Command and Control [C2]']","[5, 72, 28]","['phishing', 'hack', 'malware']"
domain,aerogenosa.ru,2021-04-16T22:00:11Z,2022-02-21T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[20, 19]","['malware', 'phishing']"
domain,ambystoma.xyz,2016-07-18T23:18:45Z,2022-02-21T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[3, 8, 16]","['hack', 'malware', 'phishing']"
domain,anamirtat.xyz,2020-09-02T19:30:18Z,2022-02-21T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[19, 13]","['malware', 'phishing']"
domain,arachnidas.online,2021-01-19T00:00:00Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[0, 0, 0, 0, 0, 0, 0, 5, 15]","['scan', 'fraud', 'leak', 'spam', 'scam', 'ddos', 'hack', 'phishing', 'malware']"
domain,atlanticos.site,2020-10-11T00:00:00Z,2022-02-19T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[0, 0, 18, 0, 0, 14, 0, 0, 0]","['fraud', 'leak', 'phishing', 'ddos', 'hack', 'malware', 'spam', 'scam', 'scan']"
domain,autumnale.xyz,2020-09-02T19:30:19Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[19, 18]","['phishing', 'malware']"
domain,bacterir.ru,2021-04-14T03:55:54Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[17, 18]","['malware', 'phishing']"
domain,barbatus.online,2021-06-11T15:56:49Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[18, 17]","['phishing', 'malware']"
domain,bibikaro.ru,2022-01-31T17:28:02Z,2022-03-12T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[17, 12]","['malware', 'phishing']"
domain,biiter.ru,2021-11-19T03:49:36Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[17, 18]","['malware', 'phishing']"
domain,blockpost.site,2020-06-24T15:43:57Z,2022-02-21T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[19, 19]","['malware', 'phishing']"
domain,bokujanai.ru,2021-12-28T03:49:45Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[17, 18]","['malware', 'phishing']"
domain,calamuss.xyz,2020-09-02T19:30:20Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[18, 19]","['malware', 'phishing']"
domain,canalas.ru,2022-01-02T14:51:29Z,2022-03-11T03:50:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[28, 20]","['malware', 'phishing']"
domain,dahla.ru,2021-11-11T03:52:42Z,2022-03-11T03:50:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[28, 18]","['malware', 'phishing']"
domain,dangeti.ru,2021-07-26T21:50:28Z,2022-03-11T03:51:26Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[1, 19, 35]","['hack', 'phishing', 'malware']"
domain,debary.ru,2021-04-28T15:56:07Z,2022-03-11T03:50:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 5]","['malware', 'phishing']"
domain,dipteran.ru,2021-02-04T15:53:18Z,2022-02-26T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[3, 13, 7]","['hack', 'malware', 'phishing']"
domain,doriga.ru,2022-02-02T22:08:51Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[17, 19]","['phishing', 'malware']"
domain,dracod.xyz,2020-09-02T19:30:21Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[19, 19]","['malware', 'phishing']"
domain,elvisar.ru,2021-06-24T04:02:16Z,2022-03-11T03:51:26Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[24, 3]","['malware', 'phishing']"
domain,erati.ru,2021-04-19T11:56:48Z,2022-02-21T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[19, 20]","['phishing', 'malware']"
domain,erwini.ru,2021-03-08T03:53:52Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[20, 17]","['malware', 'phishing']"
domain,erythrocephala.online,2020-11-18T00:00:00Z,2022-02-21T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[0, 0, 0, 0, 18, 13, 0, 0, 0]","['ddos', 'fraud', 'hack', 'leak', 'malware', 'phishing', 'scam', 'scan', 'spam']"
domain,eyeofra.online,2020-11-28T00:00:00Z,2022-02-19T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[0, 10, 0, 3, 0, 0, 0, 19, 0]","['leak', 'malware', 'spam', 'hack', 'scam', 'scan', 'ddos', 'phishing', 'fraud']"
domain,felineus.online,2020-11-28T00:00:00Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[0, 16, 0, 20, 0, 0, 0, 0, 0]","['scam', 'phishing', 'spam', 'malware', 'ddos', 'scan', 'leak', 'fraud', 'hack']"
domain,ferruminatio.ru,2021-06-11T15:56:49Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[20, 18]","['phishing', 'malware']"
domain,flounder.site,2016-03-05T13:54:03Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[0, 0, 0, 0, 0, 20, 19, 0, 0]","['fraud', 'leak', 'hack', 'spam', 'scan', 'phishing', 'malware', 'ddos', 'scam']"
domain,fnhn.online,2021-02-13T00:00:00Z,2022-02-25T16:11:30Z,[],"[0, 0, 0, 0, 0, 16, 19, 0, 0]","['fraud', 'scam', 'spam', 'hack', 'scan', 'phishing', 'malware', 'leak', 'ddos']"
domain,fortfar.ru,2022-01-04T14:23:43Z,2022-03-11T20:08:17Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[28, 10]","['malware', 'phishing']"
domain,fusari.ru,2021-03-12T14:51:27Z,2022-02-21T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[19, 18, 1]","['malware', 'phishing', 'hack']"
domain,gavialis.xyz,2020-09-02T19:30:22Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[18, 19]","['malware', 'phishing']"
domain,giltorad.ru,2022-02-12T15:54:20Z,2022-03-09T20:06:43Z,['Intrusion Set:Gamaredon Group - G0047'],"[29, 18]","['malware', 'phishing']"
domain,gitrostan.ru,2022-02-14T12:21:39Z,2022-03-11T16:06:39Z,['Intrusion Set:Gamaredon Group - G0047'],"[47, 15, 30]","['malware', 'phishing', 'ddos']"
domain,goatfish.site,2020-10-11T00:00:00Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[0, 0, 0, 19, 20, 0, 0, 0, 0]","['hack', 'ddos', 'fraud', 'malware', 'phishing', 'scam', 'spam', 'leak', 'scan']"
domain,gongorat.ru,2022-02-03T23:45:50Z,2022-03-12T13:18:50Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[17, 17]","['phishing', 'malware']"
domain,goruda.ru,2022-02-03T23:45:49Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[19, 10]","['malware', 'phishing']"
domain,gov-ua.pw,2021-08-25T13:31:47Z,2022-03-05T10:42:57Z,[],"[30, 30, 19]","['ddos', 'malware', 'phishing']"
domain,guill.ru,2021-02-26T15:53:01Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[19, 16]","['phishing', 'malware']"
domain,gurmou.site,2021-09-08T00:00:00Z,2022-02-25T16:11:30Z,[],"[0, 0, 17, 0, 0, 0, 0, 0, 17]","['scan', 'scam', 'malware', 'spam', 'ddos', 'hack', 'fraud', 'leak', 'phishing']"
domain,hilotras.ru,2022-02-04T04:22:22Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 19]","['phishing', 'malware']"
domain,hilus.ru,2021-03-15T15:57:31Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 19]","['malware', 'phishing']"
domain,hokoldar.ru,2022-02-03T21:28:50Z,2022-03-05T07:52:38Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[34, 11]","['malware', 'phishing']"
domain,holpantra.ru,2022-02-04T04:22:22Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 19]","['phishing', 'malware']"
domain,horridus.xyz,2017-05-29T09:49:42Z,2022-02-25T16:11:30Z,['Intrusion Set:Gamaredon Group - G0047'],"[16, 20]","['malware', 'phishing']"
domain,hustram.ru,2021-11-19T03:49:36Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 17]","['phishing', 'malware']"
domain,iersin.ru,2021-04-05T15:54:06Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 17]","['phishing', 'malware']"
domain,ikademo.ru,2022-01-11T03:49:32Z,2022-02-25T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[17, 18]","['malware', 'phishing']"
domain,insomniar.ru,2021-11-01T23:54:22Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[18, 18]","['phishing', 'malware']"
domain,ishinde.ru,2022-02-03T23:45:49Z,2022-03-05T16:11:30Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[19, 13]","['malware', 'phishing']"
domain,keiwakaw.ru,2022-02-04T04:22:22Z,2022-03-10T03:50:23Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147']","[10, 18]","['phishing', 'malware']"
domain,kimiga.ru,2022-01-15T03:52:39Z,2022-03-11T03:51:26Z,"['Intrusion Set:Gamaredon Group - G0047', 'Malware:Pteranodon - S0147', 'Malware:WhisperGate', 'Malware:August Stealer', 'Malware:WildFire']","[19, 27]","['phishing', 'malware']"
